year,price,mileage
2018,12,33.027
2018,12.1,30.791
2017,11.481,33.673
2017,10.881,41.394
2018,14.895,31.132
2015,9.996,52.748
2018,12,33.546
2015,8.997,49.722
2012,6.9,80.579
2015,11.495,53.384
2017,12.124,7.178
2014,8.261,26.564
2019,15.36,20.69
2015,8.584,59.722
2015,7.998,100.799
2016,10.995,32.501
2017,10.2,41.247
2018,12.3,21.252
2016,10.982,32.35
2016,10.495,35.358
2014,7.226,104.596
2017,12.36,34.522
2017,10.7,42.43
2018,13.05,18.96
2018,12,33.676
2018,12.3,21.841
2014,7.499,115.421
2012,5.987,91.483
2018,13.4,18.732
2016,13.441,23.639
2019,15.471,17.672
2015,11.195,66.957
2016,7.999,44.055
2017,10.7,41.711
2018,14.5,0.058
2015,14.978,7.98
2018,11.7,32.967
2018,11.695,27.786
2017,10.995,25.032
2017,12.595,15.793
2016,12.999,37.779
2016,5.495,103.662
2016,11.895,47.987
2018,13.381,3.17
2014,12.9,26.055
2018,11.499,27.773
2017,8.497,80.309
2016,9.977,68.658
2018,12.619,33.506
2017,14.395,32.606
2016,11.495,44.537
2015,10.621,60.323
2017,11.19,15.73
2018,12.5,17.895
2018,14.455,11.526
2015,10.75,57.96
2018,14.99,21.54
2017,12.421,32.74
2019,17.977,9.004
2016,10.499,50.987
2015,10.9,35.417
2013,9.395,72.427
2017,12.5,19.691
2018,12.951,22.64
2019,15.995,17.761
2018,13,13.917
2019,18,3.158
2013,6.499,39.178
2017,12.783,22.39
2017,11.442,16.096
2018,11.21,32.127
2017,13.298,12.807
2018,11.773,27.295
2018,11.6,36.294
2018,12.7,21.509
2015,9.25,65.75
2018,11.211,47.362
2018,14.5,0.13
2018,11.506,41.726
2018,12.605,21.385
2014,7.504,115.036
2019,16.462,13.419
2016,10.115,44.967
2012,7.995,87.549
2016,10.8,63.095
2017,11.881,27.488
2016,11.995,55.724
2018,13.995,16.563
2014,11.5,29
2018,12.1,25.378
2014,6.182,116.004
2017,11.5,29.995
2018,12.1,31.982
2017,12.026,26.771
2017,12.681,26.65
2011,4.977,76.123
2015,11.395,44.324
2015,8.5,79.77
2018,12.6,21.701
2016,9.997,41.087
2017,11.291,38.347
2019,15.988,21.67
2018,11.532,31.634
2019,15.595,10.206
2012,10,30.21
2018,14,3.939
2017,10.6,44.426
2017,13.8,29.429
2018,12,33.98
2018,12.3,32.876
2016,11.469,35.771
2014,8.5,76.444
2018,12.1,31.179
2013,5.995,140.24
2015,11.977,18.007
2017,13.795,48.907
2017,11,35.905
2018,14.156,10.427
2018,11.729,37.314
2019,18.052,2.676
2019,17.6,4.951
2015,11.695,72.865
2015,10.995,71.935
2016,12.9,27.464
2018,13.477,13.132
2016,14.2,43.154
2016,9.999,48.072
2015,11.874,44.464
2018,14.261,19.7
2017,10.442,41.913
2018,12.6,20.975
2017,13.995,43.542
2017,12.702,15.231
2017,13.38,28.394
2016,10.995,41.155
2016,10.995,38.682
2014,10,74.629
2017,10.7,41.264
2017,11.991,26.673
2018,12,32.596
2018,13.9,12.529
2017,8.99,30.262
