year,price,mileage
2016,12,26.652
2017,8.497,80.346
2016,12.32,35.841
2019,16.766,11.657
2018,14.495,34.459
2019,17.977,0.594
2018,12.953,21.665
2018,11.9,34.175
2018,12.6,21.701
2018,14.5,0.058
2014,0,89.235
2017,16.777,9.693
2018,12.726,13.542
2016,11.998,34.402
2017,12.327,40.98
2013,9.395,72.427
2018,12.6,17.996
2018,12.271,27.389
2016,11.469,35.771
2010,5.4,146.431
2015,11.848,19.228
2015,7.288,100.799
2019,16.298,16.449
2019,16.362,8.627
2012,0,144.755
2016,10.8,63.095
2016,11.995,55.344
2016,10.484,18.262
2018,12.1,31.628
2016,10.982,32.35
2017,9.893,57.202
2017,10.995,38.142
2012,5.987,91.483
2017,10.581,53.392
2019,17.977,9.004
2018,12.9,20.87
2016,12.243,47.065
2017,8.5,30.262
2018,10.895,37.644
2016,10.687,35.525
2015,8.5,79.77
2017,9.781,57.963
2018,12.6,17.895
2018,11.607,44.445
2014,9.1,58.626
2011,5.495,134.587
2017,12.5,19.691
2019,16.291,10.74
2017,0,40.509
2018,11.7,37.56
2018,12.4,21.841
2018,16.977,11.416
2016,12.395,41.98
2017,11.8,7.178
2018,11.745,28.952
2017,11.442,16.096
2017,10.8,39.893
2014,9.491,64.68
2015,11.595,72.865
2016,11.439,38.624
2017,11.772,18.014
2019,15.988,21.67
2018,11.9,29.92
2018,11.9,34.188
2011,8.999,60.678
2017,12.177,32.74
2012,10,30.21
2015,6.595,120.845
2018,14,8.337
2016,10.76,53.287
2017,13.495,62.275
2018,11.9,33.676
2018,11.8,30.506
2015,11.602,21.154
2017,8.987,56.365
2018,14.455,11.526
2018,12.7,21.018
2018,11.3,39.619
2018,15.595,33.156
2017,10.2,42.325
2010,3.1,105
2017,12.595,15.793
2017,10.442,41.913
2018,14.895,31.132
2016,9.997,41.087
2018,12.6,20.975
2017,10.779,37.928
2018,12.1,25.296
2017,10.6,44.036
2018,13.781,3.501
2018,12.5,10.911
2018,12.2,28.797
2015,8.887,55.734
2017,11.813,51.46
2015,14.978,7.98
2019,18.999,6.468
2017,13.8,29.429
2017,12.977,53.704
2017,0,24.387
2015,11.874,44.464
2018,14.49,1.661
2018,12.7,19.255
2017,10.995,25.032
2018,12.4,25.313
2017,13.795,48.907
2018,11.5,36.294
2011,6.5,88.925
2019,16.262,17.282
2018,12.6,25.315
2015,10,65.686
2013,6.499,39.178
2018,14,3.939
2012,6.9,80.579
2016,5.495,103.662
2019,15.975,16.497
2018,12,33.092
2018,14.995,35.129
2019,14.999,10.734
2018,10.898,30.089
2018,11.773,27.295
2017,13.5,24.528
2019,16.341,6.335
2016,10.5,31.201
2018,11.9,34.124
2018,12.619,33.506
2018,12.5,6.883
2016,11.695,73.713
2017,12.74,85.602
2018,12.1,25.378
2013,3.995,97.864
2015,11.494,18.479
2018,12.895,13.411
2018,14.5,0.13
2016,10.499,50.987
2018,12.1,25.224
2017,15.5,11.295
2014,7.499,115.421
2015,12.695,81.287
2018,12.5,19.386
2018,12.4,21.252
2018,13.018,25.59
2015,10.995,69.522
2017,12.977,23.777
2018,13.49,14.565
2017,0,39.229
2018,11.8,36.095
2017,10.299,40.921
2019,16.162,15.499
2016,11.795,65.372
2017,11.5,51.941
2017,11.56,26.038
2016,11.495,33.482
2019,0,18.824
2017,11.392,23.214
2016,10.195,30.496
2014,12.9,26.055
2018,14.5,9.151
2017,11.5,21.238
2019,16.462,10.909
2018,12.3,22.819
2017,11.881,27.488
2016,10.25,49.268
2018,12.605,21.385
2018,12.4,25.281
2018,0,33.882
2018,13.99,15.994
2017,10.899,30.229
2017,10.8,41.419
2018,12.995,15.148
2016,8.545,63.02
2017,11.991,26.673
2018,13.613,19.128
2016,13.991,22.799
2018,11.9,34.168
2019,17.6,4.951
2018,12.9,13.004
2018,11.7,38.256
2017,11.062,31.252
2016,12.295,35.784
2016,10.4,68.293
2016,12.195,40.307
2018,11.488,42.873
2017,0,30.318
2017,11.6,29.995
2018,11.695,27.786
2016,11.299,26.361
2016,9.499,72.639
2018,14.731,6.381
2018,11.506,41.726
2018,10.864,50.608
2018,11.9,33.79
2016,10.399,38.682
2010,0,92.004
2015,9.25,65.75
2016,13.221,23.639
2016,10.895,32.501
2017,13.481,20
2016,10.995,89.479
2018,12,31.982
2017,8.788,77.944
2018,14.261,19.701
2019,17.791,2.577
2018,11.8,35.261
2016,10.827,30.542
2018,12.2,29.228
2018,12,33.445
2014,8.991,66.286
2012,7.2,55.5
2010,6.305,71.983
2019,15.36,20.69
2016,0,34.064
2018,13.477,13.132
2019,16.9,8.783
2016,12.999,37.779
2018,11.729,37.314
2017,13.4,27.63
2017,12.783,22.39
2018,12.5,33.63
2017,13.251,16.804
2015,8.899,40.277
2016,10.495,35.361
2019,16.23,21.832
2016,11.174,71.036
2018,12.1,25.451
2017,9.009,69.34
2018,11.9,35.077
2015,11.595,49.227
2015,10.9,35.417
2016,11.295,77.61
2017,10.6,44.906
2019,16.792,11.369
2014,6.988,103.959
2018,12.1,31.096
2012,7.995,87.549
2015,11.195,66.957
2017,10.994,11.971
2016,9.977,68.658
2017,10.442,20.976
2019,16.157,7.895
2018,14.99,2.456
2019,18.545,8.012
2017,13.987,15.775
2018,12.7,21.963
2018,12.497,9.438
2018,12.7,15.527
2017,10.196,44.106
2017,0,19.266
2014,12.395,44.971
2017,13.897,34.703
2018,11.773,24.28
2019,16,16.369
2018,15.695,32.168
2018,12.3,22.172
2018,12.6,22.757
2019,16.298,12.805
2018,11.484,32.521
2011,4.977,76.123
2013,9.999,69.529
2016,8.95,66.204
2014,6.988,95.488
2017,11.99,25.83
2014,8.6,76.444
2018,12.7,22.015
2018,12.7,19.771
2017,13.38,28.394
2017,13.995,43.542
2018,12.5,20.015
2019,18,3.158
2018,11.9,35.084
2016,11.574,13.878
2016,14.2,43.154
2018,12.599,33.404
2013,6.99,108.908
2018,13.222,30.784
2014,10.597,49.476
2012,0,62.875
2019,16.485,5.966
2017,10.484,18.796
2015,0,48.584
2016,11.395,41.567
2018,12.4,21.136
2017,11,35.905
2016,12.495,14.08
2016,7.999,44.055
2017,11.595,21.953
2017,11.991,17.251
2015,9.996,52.748
2019,17.788,9.003
2015,12.695,38.589
2018,11.675,47.362
2016,10.495,53.607
2015,8.997,49.722
2016,9.5,27.372
2016,9.999,48.072
2016,15.111,29.327
2018,12.5,21.967
2016,10.859,40.547
2013,5.295,90.389
2018,12.876,20.952
2015,11.395,44.324
2015,11.977,18.007
2018,11.21,32.127
2018,13.9,12.529
2016,0,20.46
2018,12.4,25.189
2018,11.532,31.634
2014,7.226,104.596
2018,14.9,16.5
2015,9.997,34.059
2018,12.6,21.936
2015,11.295,42.991
2018,13.995,16.563
2016,11.125,41.068
2013,5.999,99.899
2018,12.2,26.891
2019,18.198,13.205
2016,12.798,15.34
2017,12.99,30.177
2014,7.504,115.036
2017,11.281,38.347
2015,11.395,53.384
2018,12.1,30.791
2018,11.6,33.471
2017,12.295,18.691
2018,12.2,25.077
2014,11.5,29
2017,12.99,11.155
2015,8.85,73.455
2018,12,30.246
2013,0,102.216
2016,0,26.797
2018,11.7,31.879
2016,10.991,32.779
2018,11.598,41.458
2018,11.9,28.529
2014,6.182,116.004
2019,16.462,9.126
2015,10.75,57.96
2018,12.2,24.74
2017,11.481,33.673
2019,16.462,13.419
2018,12.8,13.917
2013,5.995,140.24
2012,3.2,119
2016,11.995,55.724
2018,11.5,27.693
2019,15.471,17.672
2015,9.99,63.798
2017,10.3,41.321
2018,12.287,16.271
2016,10.338,44.413
2018,12.8,22.801
2016,10.999,41.27
2019,15.995,17.761
2017,8.482,78.798
2017,8.949,69.475
2017,10.988,72.183
2018,12.9,18.828
2016,10.615,44.728
2018,12.6,29.004
2019,15.179,20.726
2018,12,32.678
2018,12.997,22.521
2017,17.988,44.071
2018,13.65,32.226
2017,11.777,27.683
2014,9.9,58.466
2017,10.8,41.721
2019,15.791,0.617
2019,15.588,18.233
2011,6.1,89.49
2015,6.75,90.717
2017,14.395,32.606
2012,9.497,78.619
2013,5.988,93.813
2015,8.99,74.068
2017,12.998,12.807
2016,11.495,44.537
2018,14.156,10.427
2019,16.768,21.447
2019,18.052,2.676
2017,10.9,37.827
2017,10.995,41.317
2015,10.459,60.323
2017,12.137,25.329
2018,11.499,27.773
2018,11.7,37.392
2016,10.519,46.837
2019,14.533,23.448
2016,10.115,44.967
2015,10.27,92.019
2016,15.995,22.415
2017,12.026,26.771
2019,18.852,8.784
2018,12.6,23.447
2018,11.5,35.349
2018,12.3,27.882
2018,11.221,34.522
2018,10.998,27.685
2018,13.7,8.014
2018,14.488,14.972
2018,15,11.519
2017,13.4,31.075
2018,13.99,13.489
2013,7.841,55
2017,11.19,15.73
2016,10.995,41.155
2018,15.495,16.765
2016,13.332,49.685
2018,13.4,19.166
2016,14.194,31.355
2018,14.99,21.54
2018,12.2,24.47
2019,13.995,18.45
2018,11.394,30.595
2018,12.65,14.412
2018,12.951,22.64
